,Cuisine,Name,Star,Comments,Per_Consumption,Taste,Environment,Service,Location
35,蟹宴,黄记阳澄湖大闸蟹专卖店,50,374.0,170.0,9.3,9.0,9.3,乌鲁木齐中路308号
216,海鲜,大钏锅物,50,402.0,337.0,9.3,9.3,9.3,福山路312号世纪大都会B1层B110B室
858,贵州菜,多彩贵州,50,140.0,38.0,9.3,9.0,9.3,四平路716号
3590,本帮江浙菜,黄记阳澄湖大闸蟹专卖店,50,374.0,170.0,9.3,9.0,9.3,乌鲁木齐中路308号
5857,火锅,季悦火锅(锦江店)分店,50,446.0,886.0,9.3,9.4,9.3,茂名南路59号
5872,火锅,赤鼎麻辣锅(巴黎春天店),50,621.0,130.0,9.3,9.2,9.4,长寿路155号巴黎春天5楼
5925,火锅,大钏锅物,50,402.0,337.0,9.3,9.3,9.3,福山路312号世纪大都会B1层B110B室
5961,火锅,季悦火锅(虹桥迎宾馆店)分店,50,466.0,1012.0,9.3,9.3,9.3,虹桥路1591号虹桥迎宾馆内6号楼2楼
10726,西餐,Reve Kitchen创意法式料理,50,77.0,232.0,9.3,9.3,9.3,申长路988号虹桥万科中心LG229号
10752,西餐,红花铁板烧,50,902.0,745.0,9.3,9.1,9.4,古羊路1129号名都城俱乐部后廊
11407,其他,樽宴,50,104.0,1352.0,9.3,9.1,9.3,芳甸路777号往北第二个路口右转，第一栋281号
11430,其他,关小刀即时捞,50,103.0,94.0,9.3,9.0,9.3,尚博路687号
2803,粤菜,瑞华樟园广告,50,273.0,545.0,9.1,9.4,9.1,凯旋北路1555弄66号
3611,本帮江浙菜,西郊壹号分店,50,607.0,682.0,9.1,9.4,9.1,虹桥路1950号
5857,火锅,季悦火锅(锦江店)分店,50,446.0,886.0,9.3,9.4,9.3,茂名南路59号
5978,火锅,锅季—捞王旗下品牌(小火锅),50,1019.0,126.0,9.2,9.4,9.4,申长路869号A馆2楼L2-31号
7899,日本菜,ANTHOLOGIA地球美食剧场,50,591.0,1134.0,9.0,9.4,9.3,番禺路381号D栋105-107室
10810,西餐,麒麟阁,45,125.0,193.0,8.7,9.4,8.6,金科路东郊宾馆内
10839,西餐,Aurora  绚景楼,50,107.0,921.0,9.1,9.4,9.4,上海迪士尼乐园酒店八楼
5872,火锅,赤鼎麻辣锅(巴黎春天店),50,621.0,130.0,9.3,9.2,9.4,长寿路155号巴黎春天5楼
5923,火锅,潮界(绿地缤纷城店),50,199.0,75.0,9.2,9.0,9.4,东安路562号绿地缤纷城东区h201
5927,火锅,海底捞火锅(龙茗路店)分店,50,2884.0,126.0,9.2,9.2,9.4,龙茗路1300弄58号古美生活购物广场三层
5978,火锅,锅季—捞王旗下品牌(小火锅),50,1019.0,126.0,9.2,9.4,9.4,申长路869号A馆2楼L2-31号
10638,西餐,O2ZONE氧舍(中山北路店),50,587.0,73.0,9.2,9.3,9.4,中山北路756号
10704,西餐,PizzaD,50,269.0,60.0,9.2,8.7,9.4,东昌路508号
10752,西餐,红花铁板烧,50,902.0,745.0,9.3,9.1,9.4,古羊路1129号名都城俱乐部后廊
10839,西餐,Aurora  绚景楼,50,107.0,921.0,9.1,9.4,9.4,上海迪士尼乐园酒店八楼
